CityNumber,City,CountryName,Lat,Lng,MaxTemp,Humidity,Cloudiness,WindSpeed,Continent,Country,Date
17,Bredasdorp,South Africa,-34.53,20.04,63,88,100,1.12,Africa,ZA,3/22/2019
18,Avarua,Cook Islands,-21.21,-159.78,86,79,0,9.17,Oceania,CK,3/22/2019
19,Hosanagara,India,13.92,75.07,64.58,94,0,1.39,Asia,IN,3/22/2019
20,Tual,Indonesia,-5.67,132.75,84.92,95,0,13.69,Asia,ID,3/22/2019
21,Maningrida,Australia,-12.05,134.23,83.12,94,56,4.29,Oceania,AU,3/22/2019
22,Kodiak,United States of America,39.95,-94.76,54,18,1,5.82,North America,US,3/22/2019
23,Castro,Chile,-42.48,-73.76,55.4,100,90,8.05,South America,CL,3/21/2019
24,Lucea,Jamaica,18.44,-78.17,80.01,78,75,6.93,North America,JM,3/22/2019
25,Pangkalanbuun,Indonesia,-2.68,111.62,75.2,97,64,4.18,Asia,ID,3/22/2019
26,Trat,Thailand,12.25,102.51,88,61,32,6.42,Asia,TH,3/22/2019
27,Babushkin,Russian Federation,51.72,105.86,15.89,86,12,3.96,Europe,RU,3/22/2019
27,Babushkin,Russian Federation,51.72,105.86,15.89,86,12,3.96,Asia,RU,3/22/2019
28,Sorong,Indonesia,-0.86,131.25,80.87,100,36,6.64,Asia,ID,3/22/2019
29,Alofi,Niue,-19.06,-169.92,80.6,83,90,8.05,Oceania,NU,3/22/2019
30,Bakchar,Russian Federation,57.02,82.07,22.37,86,36,7.43,Europe,RU,3/22/2019
30,Bakchar,Russian Federation,57.02,82.07,22.37,86,36,7.43,Asia,RU,3/22/2019
31,Torbay,Canada,47.66,-52.73,30.99,63,5,14.99,North America,CA,3/22/2019
32,Port Hardy,Canada,50.7,-127.42,60.8,48,75,3.36,North America,CA,3/22/2019
33,Tasiilaq,Greenland,65.61,-37.64,15.8,78,92,41.38,North America,GL,3/21/2019
34,Busselton,Australia,-33.64,115.35,72,50,36,18.84,Oceania,AU,3/22/2019
35,Albany,United States of America,42.65,-73.75,41,80,90,4.7,North America,US,3/22/2019
36,Nikolskoye,Russian Federation,59.7,30.79,37.4,93,90,15.66,Europe,RU,3/22/2019
36,Nikolskoye,Russian Federation,59.7,30.79,37.4,93,90,15.66,Asia,RU,3/22/2019
37,Atherton,United Kingdom of Great Britain & Northern Ireland,53.52,-2.49,53.01,87,90,3.36,Europe,GB,3/22/2019
38,Yellowknife,Canada,62.45,-114.38,41,65,20,17.22,North America,CA,3/22/2019
39,Bathsheba,Barbados,13.22,-59.52,77,83,75,9.17,North America,BB,3/21/2019
40,Springbok,South Africa,-29.67,17.88,55.67,57,0,6.76,Africa,ZA,3/22/2019
41,Caravelas,Brazil,-17.73,-39.27,81.86,100,64,20.07,South America,BR,3/22/2019
42,Mar del Plata,Argentina,-46.43,-67.52,57.2,52,8,6.98,South America,AR,3/22/2019
43,Bluff,Australia,-23.58,149.07,83.3,68,0,5.64,Oceania,AU,3/22/2019
44,Dingle,Philippines,11,122.67,80.06,65,0,11.01,Asia,PH,3/22/2019
45,Horta,Spain,41.43,2.16,54,80,0,4.7,Europe,ES,3/22/2019
46,Gambo,Nigeria,11.96,9.63,81.86,46,12,6.76,Africa,NG,3/22/2019
47,Gorontalo,Indonesia,0.54,123.06,77.72,88,20,2.51,Asia,ID,3/22/2019
48,Matara,Peru,-13.74,-72.9,46.58,88,64,1.95,South America,PE,3/22/2019
49,Kavieng,Papua New Guinea,-2.57,150.8,85.01,97,32,5.41,Oceania,PG,3/22/2019
50,Saint Petersburg,Russian Federation,59.94,30.32,37.4,93,90,15.66,Europe,RU,3/22/2019
50,Saint Petersburg,Russian Federation,59.94,30.32,37.4,93,90,15.66,Asia,RU,3/22/2019
51,Hermanus,South Africa,-34.42,19.24,66,91,56,4.74,Africa,ZA,3/22/2019
52,Karachi,Pakistan,24.87,67.03,68,72,0,10.11,Asia,PK,3/22/2019
53,Saskylakh,Russian Federation,71.97,114.09,8.33,78,64,1.16,Europe,RU,3/22/2019
53,Saskylakh,Russian Federation,71.97,114.09,8.33,78,64,1.16,Asia,RU,3/22/2019
54,Khabarovsk,Russian Federation,48.48,135.08,17.6,44,0,15.66,Europe,RU,3/21/2019
54,Khabarovsk,Russian Federation,48.48,135.08,17.6,44,0,15.66,Asia,RU,3/21/2019
55,Mecca,Saudi Arabia,21.43,39.83,61.61,88,0,2.62,Asia,SA,3/22/2019
56,Nyurba,Russian Federation,63.29,118.35,3.74,80,44,6.98,Europe,RU,3/22/2019
56,Nyurba,Russian Federation,63.29,118.35,3.74,80,44,6.98,Asia,RU,3/22/2019
57,San Patricio,Paraguay,-26.98,-56.83,67.37,63,0,5.75,South America,PY,3/22/2019
58,Airai,Timor-Leste,-8.93,125.41,77.72,73,0,1.83,Asia,TL,3/22/2019
59,Ladario,Portugal,40.7,-7.74,51.01,81,0,1.95,Europe,PT,3/22/2019
60,Visnes,Norway,59.36,5.22,39,98,0,10.29,Europe,NO,3/22/2019
61,Ilulissat,Greenland,69.22,-51.1,-9.41,63,36,14.99,North America,GL,3/21/2019
62,Bambous Virieux,Mauritius,-20.34,57.76,82.4,74,75,4.7,Africa,MU,3/22/2019
63,Gat,Senegal,14.69,-16.54,68,88,75,10.29,Africa,SN,3/22/2019
64,Marjamaa,Estonia,58.9,24.43,39,69,0,13.87,Europe,EE,3/22/2019
65,Lorengau,Papua New Guinea,-2.02,147.27,83.21,98,48,6.2,Oceania,PG,3/22/2019
66,Grand Gaube,Mauritius,-20.01,57.66,82.4,74,75,4.7,Africa,MU,3/22/2019
67,Kloulklubed,Palau,7.04,134.26,82.4,74,75,9.17,Oceania,PW,3/21/2019
68,Geraldton,Canada,49.72,-86.95,33.8,59,90,10.29,North America,CA,3/22/2019
69,Mataura,New Zealand,-46.19,168.86,71.24,67,24,4.29,Oceania,NZ,3/22/2019
70,Luderitz,Namibia,-26.65,15.16,59.99,82,0,15.93,Africa,,3/22/2019
71,Atuona,French Polynesia,-9.8,-139.03,81.86,100,0,15.48,Oceania,PF,3/22/2019
72,Husavik,Canada,50.56,-96.99,42.01,56,0,5.01,North America,CA,3/22/2019
73,Vaini,India,15.34,74.49,60.08,85,0,1.39,Asia,IN,3/22/2019
74,Mahebourg,Mauritius,-20.41,57.7,82.4,74,75,4.7,Africa,MU,3/22/2019
75,Acari,Brazil,-6.44,-36.64,68.36,97,24,2.39,South America,BR,3/22/2019
76,East London,South Africa,-33.02,27.91,68.36,100,0,11.68,Africa,ZA,3/22/2019
77,Port Augusta,Australia,-32.49,137.76,84,83,12,11.41,Oceania,AU,3/22/2019
78,Naze,Nigeria,5.43,7.07,78.8,88,75,2.24,Africa,NG,3/22/2019
79,Ponta Delgada,Portugal,37.73,-25.67,57.2,82,75,2.24,Europe,PT,3/22/2019
80,Atambua,Indonesia,-9.11,124.89,83.3,94,0,6.76,Asia,ID,3/22/2019
81,Mount Isa,Australia,-20.73,139.49,87.8,45,0,12.75,Oceania,AU,3/21/2019
82,Robertsport,Liberia,6.75,-11.37,81.77,100,48,8.43,Africa,LR,3/22/2019
83,Hami,China,42.84,93.51,23.72,66,8,3.4,Asia,CN,3/22/2019
84,San Luis,Argentina,-33.3,-66.34,68,39,0,11.56,South America,AR,3/22/2019
85,Saint-Georges,Canada,46.12,-70.67,42.01,64,92,6.76,North America,CA,3/22/2019
86,Comodoro Rivadavia,Argentina,-45.87,-67.48,60.8,55,0,5.75,South America,AR,3/21/2019
87,Cockburn Town,Turks and Caicos Islands,21.46,-71.14,80.96,93,0,4.97,North America,TC,3/22/2019
88,Fort Nelson,Canada,58.81,-122.69,53.6,32,75,2.24,North America,CA,3/22/2019
89,Aguadilla,Puerto Rico,18.43,-67.15,80.01,65,75,3.36,North America,PR,3/22/2019
90,Butembo,Congo,0.12,29.29,57.83,90,8,1.39,Africa,CD,3/22/2019
91,Cidreira,Brazil,-30.17,-50.22,62.24,83,0,6.31,South America,BR,3/22/2019
92,Tautira,French Polynesia,-17.73,-149.15,84.2,74,75,11.41,Oceania,PF,3/22/2019
93,Porangatu,Brazil,-13.44,-49.14,73.49,96,64,2.84,South America,BR,3/22/2019
94,Talnakh,Russian Federation,69.49,88.39,20.75,94,80,3.51,Europe,RU,3/22/2019
94,Talnakh,Russian Federation,69.49,88.39,20.75,94,80,3.51,Asia,RU,3/22/2019
95,Verkhnyaya Inta,Russian Federation,65.99,60.32,27.5,84,88,5.86,Europe,RU,3/22/2019
95,Verkhnyaya Inta,Russian Federation,65.99,60.32,27.5,84,88,5.86,Asia,RU,3/22/2019
96,Upernavik,Greenland,72.79,-56.15,-14.17,100,32,1.61,North America,GL,3/22/2019
97,Tessalit,Mali,20.2,1.01,56.48,22,0,3.74,Africa,ML,3/22/2019
98,Roald,Norway,62.58,6.12,44.6,52,32,14.99,Europe,NO,3/22/2019
99,Yatou,Cameroon,3.63,9.81,80.6,100,75,1.12,Africa,CM,3/22/2019
100,Zhigansk,Russian Federation,66.77,123.37,-3.28,75,36,11.79,Europe,RU,3/22/2019
100,Zhigansk,Russian Federation,66.77,123.37,-3.28,75,36,11.79,Asia,RU,3/22/2019
101,Norman Wells,Canada,65.28,-126.83,35.6,64,75,12.75,North America,CA,3/22/2019
102,Hilo,United States of America,19.71,-155.08,77,73,90,15.26,North America,US,3/22/2019
103,Butaritari,Kiribati,3.07,172.79,81.86,100,76,8.99,Oceania,KI,3/22/2019
104,Yar-Sale,Russian Federation,66.83,70.83,18.86,82,44,11.34,Europe,RU,3/22/2019
104,Yar-Sale,Russian Federation,66.83,70.83,18.86,82,44,11.34,Asia,RU,3/22/2019
105,Port Elizabeth,United States of America,39.31,-74.98,51.8,93,90,24.16,North America,US,3/22/2019
106,Cape Town,South Africa,-33.93,18.42,66.2,68,0,24.16,Africa,ZA,3/22/2019
107,Baker City,United States of America,44.77,-117.83,62.6,27,20,8.05,North America,US,3/22/2019
108,Hamilton,Canada,43.26,-79.87,44.01,93,90,8.05,North America,CA,3/22/2019
109,Thompson,Canada,55.74,-97.86,30.2,54,20,13.87,North America,CA,3/22/2019
110,Georgetown,Guyana,6.8,-58.16,80.6,78,20,11.41,South America,GY,3/21/2019
111,Zomin,Uzbekistan,39.96,68.4,41.99,79,20,2.73,Asia,UZ,3/22/2019
112,Longyearbyen,Norway,78.22,15.63,19.4,85,20,8.05,Europe,NO,3/21/2019
113,Taksimo,Russian Federation,56.36,114.84,9.59,55,24,3.4,Europe,RU,3/22/2019
113,Taksimo,Russian Federation,56.36,114.84,9.59,55,24,3.4,Asia,RU,3/22/2019
114,Concarneau,France,47.88,-3.92,48.2,87,0,4.7,Europe,FR,3/22/2019
115,Jinchang,China,38.52,102.19,10.76,47,0,2.95,Asia,CN,3/22/2019
116,Tiznit,Morocco,29.7,-9.73,55.58,93,0,4.63,Africa,MA,3/22/2019
117,Flin Flon,Canada,54.77,-101.88,46.4,36,20,5.82,North America,CA,3/21/2019
118,New Norfolk,Australia,-42.78,147.06,63,82,75,3.36,Oceania,AU,3/22/2019
119,Hobart,Australia,-42.88,147.33,63,82,75,3.36,Oceania,AU,3/22/2019
120,Provideniya,Russian Federation,64.42,-173.23,8.6,50,75,17.9,Europe,RU,3/21/2019
120,Provideniya,Russian Federation,64.42,-173.23,8.6,50,75,17.9,Asia,RU,3/21/2019
121,Canby,United States of America,45.26,-122.69,57.99,71,90,4.7,North America,US,3/22/2019
122,Mogadishu,Somalia,2.04,45.34,81.77,100,8,18.84,Africa,SO,3/22/2019
123,Serra Branca,Brazil,-7.57,-40.23,70.34,94,44,1.95,South America,BR,3/22/2019
124,Price,United States of America,39.6,-110.81,46.99,93,75,9.17,North America,US,3/22/2019
125,Saint George,Greece,39.45,22.34,53.01,87,20,4.7,Europe,GR,3/22/2019
126,Rodrigues Alves,Brazil,-7.74,-72.65,80.6,88,40,2.95,South America,BR,3/21/2019
127,Banda Aceh,Indonesia,5.56,95.32,73.22,97,12,1.95,Asia,ID,3/22/2019
128,Tuktoyaktuk,Canada,69.44,-133.03,15.8,85,90,14.99,North America,CA,3/22/2019
129,Quatre Cocos,Mauritius,-20.21,57.76,82.4,74,75,4.7,Africa,MU,3/22/2019
130,Vanimo,Papua New Guinea,-2.67,141.3,83.03,98,20,17.05,Oceania,PG,3/22/2019
131,Ulaanbaatar,Mongolia,47.92,106.92,10.4,78,20,10,Asia,MN,3/21/2019
132,Ancud,Chile,-41.87,-73.83,55.4,100,90,8.05,South America,CL,3/21/2019
133,Fortuna,Spain,38.18,-1.13,50,61,0,5.82,Europe,ES,3/22/2019
134,Ponta do Sol,Brazil,-20.63,-46,66.47,97,92,7.09,South America,BR,3/22/2019
135,Saldanha,Portugal,41.42,-6.55,32.36,86,0,3.29,Europe,PT,3/22/2019
136,Taoudenni,Mali,22.68,-3.98,68.09,15,88,8.1,Africa,ML,3/22/2019
137,Iskateley,Russian Federation,67.68,53.15,20.48,89,64,5.53,Europe,RU,3/22/2019
137,Iskateley,Russian Federation,67.68,53.15,20.48,89,64,5.53,Asia,RU,3/22/2019
138,Te Anau,New Zealand,-45.41,167.72,68.45,69,0,3.51,Oceania,NZ,3/22/2019
139,Buraydah,Saudi Arabia,26.33,43.97,58.28,65,0,7.2,Asia,SA,3/22/2019
140,Lebu,Ethiopia,8.96,38.73,64.4,45,40,6.93,Africa,ET,3/22/2019
141,Palora,Ecuador,-1.7,-77.97,77,83,40,2.24,South America,EC,3/21/2019
142,Sola,Norway,58.89,5.65,39,99,0,6.93,Europe,NO,3/22/2019
143,Isangel,Vanuatu,-19.55,169.27,87.8,70,75,13.87,Oceania,VU,3/21/2019
144,Coquimbo,Chile,-29.95,-71.34,57.2,82,20,6.93,South America,CL,3/21/2019
145,College,United States of America,64.86,-147.8,53.01,34,75,3.36,North America,US,3/22/2019
146,Srednekolymsk,Russian Federation,67.46,153.71,-4.27,66,0,3.18,Europe,RU,3/22/2019
146,Srednekolymsk,Russian Federation,67.46,153.71,-4.27,66,0,3.18,Asia,RU,3/22/2019
147,Itarema,Brazil,-2.92,-39.92,77.72,96,76,4.18,South America,BR,3/22/2019
148,Khatanga,Russian Federation,71.98,102.47,-0.13,74,48,10.22,Europe,RU,3/22/2019
148,Khatanga,Russian Federation,71.98,102.47,-0.13,74,48,10.22,Asia,RU,3/22/2019
149,Paramonga,Peru,-10.68,-77.82,69.26,98,8,8.99,South America,PE,3/22/2019
150,Rawson,Argentina,-43.3,-65.11,64.04,34,44,4.74,South America,AR,3/22/2019
151,Aripuana,Brazil,-9.17,-60.63,75.38,97,76,2.06,South America,BR,3/22/2019
152,Don Sak,Thailand,9.32,99.69,80.6,88,20,5.19,Asia,TH,3/22/2019
153,Saint-Philippe,Canada,45.36,-73.48,42.8,75,90,16.11,North America,CA,3/22/2019
154,Yulara,Australia,-25.24,130.99,82.4,23,0,6.93,Oceania,AU,3/21/2019
155,Avera,United States of America,33.19,-82.53,62.6,44,40,13.87,North America,US,3/22/2019
156,Qaanaaq,Greenland,77.48,-69.36,-21.55,89,20,7.43,North America,GL,3/22/2019
157,Meulaboh,Indonesia,4.14,96.13,77.99,100,24,4.18,Asia,ID,3/22/2019
158,Trincomalee,Sri Lanka,8.58,81.23,73.67,92,8,2.73,Asia,LK,3/22/2019
159,Moussoro,Chad,13.64,16.49,72.59,53,8,2.73,Africa,TD,3/22/2019
160,Salalah,Oman,17.01,54.1,75.2,73,0,1.12,Asia,OM,3/21/2019
161,Linxia,China,35.6,103.21,22.91,88,76,2.95,Asia,CN,3/22/2019
162,Yumen,China,40.29,97.04,17.51,61,8,3.62,Asia,CN,3/22/2019
163,Ahipara,New Zealand,-35.17,173.16,74.39,71,64,8.43,Oceania,NZ,3/22/2019
164,Fairbanks,United States of America,64.84,-147.72,53.01,34,75,3.36,North America,US,3/22/2019
165,Verkhoyansk,Russian Federation,67.55,133.39,-17.14,48,0,2.62,Europe,RU,3/22/2019
165,Verkhoyansk,Russian Federation,67.55,133.39,-17.14,48,0,2.62,Asia,RU,3/22/2019
166,Touros,Brazil,-5.2,-35.46,80.6,88,0,2.24,South America,BR,3/21/2019
167,Chernyanka,Russian Federation,50.94,37.8,29.48,90,80,7.2,Europe,RU,3/22/2019
167,Chernyanka,Russian Federation,50.94,37.8,29.48,90,80,7.2,Asia,RU,3/22/2019
168,Necochea,Argentina,-38.55,-58.74,55,74,56,3,South America,AR,3/22/2019
169,Kruisfontein,South Africa,-34,24.73,59.9,86,0,8.21,Africa,ZA,3/22/2019
170,Margate,Australia,-43.03,147.26,63,82,75,3.36,Oceania,AU,3/22/2019
171,Kaitangata,New Zealand,-46.28,169.85,68.99,83,76,4.07,Oceania,NZ,3/22/2019
172,Port Alfred,South Africa,-33.59,26.89,64,90,12,3,Africa,ZA,3/22/2019
173,Mao,Dominican Republic,19.55,-71.08,80.6,74,40,11.41,North America,DO,3/22/2019
174,Puerto Ayora,Ecuador,-0.74,-90.35,82.4,78,20,12.75,South America,EC,3/22/2019
175,Marmande,France,44.5,0.16,44.01,70,0,3.36,Europe,FR,3/22/2019
176,Aswan,Egypt,24.09,32.9,73.4,15,0,4.7,Africa,EG,3/21/2019
177,Ust-Tsilma,Russian Federation,65.44,52.15,26.69,94,88,3.51,Europe,RU,3/22/2019
177,Ust-Tsilma,Russian Federation,65.44,52.15,26.69,94,88,3.51,Asia,RU,3/22/2019
178,Leningradskiy,Russian Federation,69.38,178.42,-10.21,100,12,4.07,Europe,RU,3/22/2019
178,Leningradskiy,Russian Federation,69.38,178.42,-10.21,100,12,4.07,Asia,RU,3/22/2019
179,Vardo,United States of America,39.62,-77.74,44.01,86,90,11.41,North America,US,3/22/2019
180,Alice Springs,Australia,-23.7,133.88,84.2,21,0,8.05,Oceania,AU,3/21/2019
181,General Pico,Argentina,-35.66,-63.75,60.8,61,36,12.57,South America,AR,3/22/2019
182,La Sarre,Canada,48.8,-79.2,37.04,93,92,8.66,North America,CA,3/22/2019
183,Eston,Canada,51.15,-108.75,50,76,5,9.17,North America,CA,3/22/2019
184,Haines Junction,Canada,60.75,-137.51,44.42,52,0,3.18,North America,CA,3/22/2019
185,Port Hawkesbury,Canada,45.62,-61.36,34,86,75,4.7,North America,CA,3/22/2019
186,Pisco,Peru,-13.71,-76.2,71.6,30,0,21.92,South America,PE,3/21/2019
187,Aksarka,Russian Federation,66.56,67.8,21.92,84,76,10.45,Europe,RU,3/22/2019
187,Aksarka,Russian Federation,66.56,67.8,21.92,84,76,10.45,Asia,RU,3/22/2019
188,Voloshka,Russian Federation,61.33,40.09,27.5,93,68,8.32,Europe,RU,3/22/2019
188,Voloshka,Russian Federation,61.33,40.09,27.5,93,68,8.32,Asia,RU,3/22/2019
189,Carnarvon,South Africa,-30.97,22.13,53.51,61,0,10,Africa,ZA,3/22/2019
190,Xinxiang,China,35.3,113.88,39.92,54,76,3.18,Asia,CN,3/22/2019
191,Port Hedland,Australia,-20.31,118.58,86,74,40,20.8,Oceania,AU,3/21/2019
192,Houston,United States of America,29.76,-95.37,75.99,22,1,4.7,North America,US,3/22/2019
193,Cherskiy,Russian Federation,68.75,161.3,-7.51,62,0,2.62,Europe,RU,3/22/2019
193,Cherskiy,Russian Federation,68.75,161.3,-7.51,62,0,2.62,Asia,RU,3/22/2019
194,Okato,New Zealand,-39.19,173.88,68.9,92,8,7.43,Oceania,NZ,3/22/2019
195,Guerrero Negro,Mexico,27.97,-114.04,64.67,58,68,17.27,North America,MX,3/22/2019
196,Lompoc,United States of America,34.64,-120.46,60.01,76,75,9.17,North America,US,3/22/2019
197,Aurora,United States of America,41.76,-88.32,46,65,1,9.17,North America,US,3/22/2019
198,Bethel,United States of America,60.79,-161.76,44.6,65,75,12.75,North America,US,3/21/2019
199,Yaroslavskiy,Russian Federation,44.19,132.23,23.9,77,32,10.45,Europe,RU,3/22/2019
199,Yaroslavskiy,Russian Federation,44.19,132.23,23.9,77,32,10.45,Asia,RU,3/22/2019
200,Gizo,Israel,31.8,34.94,59,87,40,2.24,Asia,IL,3/22/2019
201,Roblin,Canada,51.23,-101.35,33.89,91,0,3.85,North America,CA,3/22/2019
202,Souillac,France,45.6,-0.6,45,60,0,2.95,Europe,FR,3/22/2019
203,Metro,Indonesia,-5.11,105.31,77.18,100,24,4.85,Asia,ID,3/22/2019
204,Deputatskiy,Russian Federation,69.3,139.9,-17.86,48,0,2.73,Europe,RU,3/22/2019
204,Deputatskiy,Russian Federation,69.3,139.9,-17.86,48,0,2.73,Asia,RU,3/22/2019
205,Jalu,Libyan Arab Jamahiriya,29.03,21.55,72.59,43,88,15.03,Africa,LY,3/22/2019
206,Karaton,Indonesia,-6.34,106.1,84,78,20,5.82,Asia,ID,3/22/2019
207,Misratah,Libyan Arab Jamahiriya,32.38,15.09,55.04,100,92,6.64,Africa,LY,3/22/2019
208,Pamekasan,Indonesia,-7.16,113.47,80.96,100,36,9.66,Asia,ID,3/22/2019
209,Ostrovnoy,Russian Federation,68.05,39.51,15.44,82,8,7.54,Europe,RU,3/22/2019
209,Ostrovnoy,Russian Federation,68.05,39.51,15.44,82,8,7.54,Asia,RU,3/22/2019
210,Havre-Saint-Pierre,Canada,50.23,-63.6,30.2,86,90,6.93,North America,CA,3/22/2019
211,Jiangyou,China,31.78,104.73,46.94,81,76,3.74,Asia,CN,3/22/2019
212,Ingham,Australia,-18.65,146.16,81.77,92,92,10.56,Oceania,AU,3/22/2019
213,Lambarene,Gabon,-0.7,10.22,72.86,100,88,2.62,Africa,GA,3/22/2019
214,Praia da Vitoria,Portugal,38.73,-27.07,59,87,40,7.76,Europe,PT,3/22/2019
215,Saint Anthony,United States of America,43.97,-111.68,57.2,24,1,9.17,North America,US,3/22/2019
216,Saint-Augustin,France,44.83,-0.61,45,86,0,1.61,Europe,FR,3/22/2019
217,Gushikawa,Japan,26.35,127.87,71.6,78,75,14.99,Asia,JP,3/22/2019
218,Erdenet,Mongolia,49.03,104.04,4.73,67,8,2.62,Asia,MN,3/22/2019
219,Severo-Kurilsk,Russian Federation,50.68,156.12,24.8,100,48,10.56,Europe,RU,3/22/2019
219,Severo-Kurilsk,Russian Federation,50.68,156.12,24.8,100,48,10.56,Asia,RU,3/22/2019
220,Namibe,Angola,-15.19,12.15,77.63,100,0,0.27,Africa,AO,3/22/2019
221,Marathon,Canada,48.72,-86.38,33.17,81,56,9.89,North America,CA,3/22/2019
222,Quirinopolis,Brazil,-18.45,-50.45,73.94,92,20,6.08,South America,BR,3/22/2019
223,Constitucion,Mexico,23.99,-104.67,77,7,20,11.41,North America,MX,3/22/2019
224,Kaeo,New Zealand,-35.1,173.78,72,74,64,5.01,Oceania,NZ,3/22/2019
225,Lamar,United States of America,38.09,-102.62,63,18,1,12.75,North America,US,3/22/2019
226,Maldonado,Uruguay,-34.91,-54.96,55.4,71,20,3.36,South America,UY,3/21/2019
227,Riyadh,Saudi Arabia,24.63,46.72,60.8,31,0,5.82,Asia,SA,3/22/2019
228,Sao Jose da Coroa Grande,Brazil,-8.9,-35.15,76.19,97,12,4.74,South America,BR,3/22/2019
229,Tongren,China,27.72,109.18,42.62,94,92,9.66,Asia,CN,3/22/2019
230,Cassilandia,Brazil,-19.11,-51.73,71.69,92,100,6.98,South America,BR,3/22/2019
231,Antalaha,Madagascar,-14.9,50.28,77.72,93,44,8.66,Africa,MG,3/22/2019
232,Partizanskoye,Ukraine,44.83,34.08,32.54,84,48,5.19,Europe,UA,3/22/2019
233,Sitka,United States of America,37.17,-99.65,60.01,39,36,3,North America,US,3/22/2019
234,Faanui,French Polynesia,-16.48,-151.75,84.65,100,80,8.43,Oceania,PF,3/22/2019
235,Krasnogvardeyskoye,Russian Federation,45.84,41.51,42.62,93,68,7.99,Europe,RU,3/22/2019
235,Krasnogvardeyskoye,Russian Federation,45.84,41.51,42.62,93,68,7.99,Asia,RU,3/22/2019
236,Komsomolskiy,Russian Federation,67.55,63.78,26.06,92,80,4.63,Europe,RU,3/22/2019
236,Komsomolskiy,Russian Federation,67.55,63.78,26.06,92,80,4.63,Asia,RU,3/22/2019
237,North Bend,United States of America,43.41,-124.22,64,71,1,12.75,North America,US,3/22/2019
238,Codrington,Australia,-28.95,153.24,84.99,69,90,3.4,Oceania,AU,3/22/2019
239,Sao Filipe,Cape Verde,14.9,-24.5,70.16,99,12,14.47,Africa,CV,3/22/2019
240,Leopold,United States of America,38.1,-86.58,45,81,90,5.82,North America,US,3/22/2019
241,Amga,Russian Federation,60.89,131.98,-8.41,62,0,2.62,Europe,RU,3/22/2019
241,Amga,Russian Federation,60.89,131.98,-8.41,62,0,2.62,Asia,RU,3/22/2019
242,Nyaunglebin,Myanmar,17.95,96.73,66.74,81,0,2.06,Asia,MM,3/22/2019
243,Morant Bay,Jamaica,17.88,-76.41,80.6,65,75,2.24,North America,JM,3/22/2019
244,Sabha,Libyan Arab Jamahiriya,27.03,14.43,60.44,50,0,11.12,Africa,LY,3/22/2019
245,Khandyga,Russian Federation,62.65,135.58,-7.15,59,0,3.51,Europe,RU,3/22/2019
245,Khandyga,Russian Federation,62.65,135.58,-7.15,59,0,3.51,Asia,RU,3/22/2019
246,Batemans Bay,Australia,-35.71,150.18,79,73,56,1.99,Oceania,AU,3/22/2019
247,Grindavik,Iceland,63.84,-22.43,35.01,100,90,12.75,Europe,IS,3/22/2019
248,Iqaluit,Canada,63.75,-68.52,-9.01,63,40,3.36,North America,CA,3/22/2019
249,Vani,Georgia,42.09,42.51,44.6,100,24,1.12,Europe,GE,3/21/2019
249,Vani,Georgia,42.09,42.51,44.6,100,24,1.12,Asia,GE,3/21/2019
250,Mazatlan,Mexico,23.22,-106.42,84.2,25,5,11.41,North America,MX,3/22/2019
251,Acapulco,Mexico,16.86,-99.88,82.4,74,20,11.41,North America,MX,3/21/2019
252,Kahului,United States of America,20.89,-156.47,84.2,39,20,16.11,North America,US,3/22/2019
